Blog	four	second	music	want	place	types	series	service	needed	project	letter	tech	came	best	never	asked	much	life	worked	memorial	things	had	possible	right	old	easy	call	happy	later	time	minute	team	along	love	working	such	data	so	years	didn	internet	million	quite	open	city	future	san	turned	say	saw	take	pages	ways	slow	going	where	screen	many	wants	photos	former	single	summer	being	around	world	power	her	complete	am	cpu	th	small	past	full	hours	social	action	via	company	always	found	really	number	also	play	plan	writes	set	startup	see	seo	available	whole	community	readers	couple	d	anything	link	uk	ago	having	results	try	race	video	let	great	makes	next	process	high	move	doing	david	system	fact	should	printers	stuff	edition	email	etc	co	ve	site	off	web	government	five	become	does	problem	write	above	told	word	work	could	far	order	then	them	away	com	photo	board	night	marketing	months	way	war	together	known	cost	live	remember	still	space	looking	care	yourself	online	america	only	between	article	comes	these	media	real	read	early	using	business	start	lot	trying	sales	month	very	learned	family	put	help	actually	event	since	issue	launch	american	mobile	latest	pretty	during	x	won	probably	missing	both	else	while	used	user	popular	e	youtube	go	facebook	click	win	announced	started	control	links	him	university	special	times	need	able	based	written	group	party	well	page	twitter	home	north	star	amp	look	across	even	tips	ever	tell	rights	give	amazing	answer	president	before	personal	better	went	side	mean	content	matter	seen	don	m	points	bad	decided	said	against	appeared	three	website	left	human	yes	yet	down	form	drive	weekend	died	finally	me	did	run	boy	visit	making	may	man	maybe	talk	nbsp	interesting	thing	think	long	little	anyone	were	paid	especially	show	morning	enough	reading	according	those	different	pay	same	running	money	either	users	road	again	important	u	starting	children	public	search	share	coming	through	golfing	someone	another	house	hard	idea	members	done	part	built	build	find	please	point	simple	itself	yesterday	spent	source	big	bit	google	often	entire	private	themselves	ll	math	gear	super	national	almost	thought	happens	biggest	buy	minutes	every	school	street	changes	would	phone	my	keep	end	writers	over	writing	each	got	free	days	already	top	too	took	though	amazon	news	quickly	several	gave	donald	everything	who	two	trip	cool	doesn	says	water	today	trump	platform	happened	name	she	turn	white	season	any	ideas	sure	state	come	color	case	good	week	without	seems	blog	legal	everyone	follow	woman	list	version	short	might	health	friday	feel	story	store	kind	check	his	art	recently	creating	became	political	questions	question	fast	called	nice	microsoft	once	issues	deals	app	use	few	something	six	looks	our	york	which	why	thousands	words	view	stories	job	last	gets	other	know	because	lead	getting	own	made	whether	below	book	june
ThinkProgressPage Array – ThinkProgress	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	7	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	5	0	3	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	5	20	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	1	0	3	1	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	3	0	0	0	1	4	4	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	3	2	0	0	0	0	0	0	6	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0
blog maverick	0	0	0	1	1	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	1	4	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	2	0	1	0	4	0	0	0	1	0	0	0	0	0	0	0	1	2	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	4	3	4	0	0	0	2	0	0	1	0	1	0	0	0	1	0	0	2	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	1	0	0	0	0	0	0	0	0	1	1	1	0	0	3	0	1	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Topix Blog	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	1	0	0	1	0	1	0	0	0	3	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	0	2	1	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	21	2	0	1	0	0	0	3	0	1	0	0	0	0	1	0	1	0	0	1	0	0	2	0	1	1	1	0	0	1	0	0	0	0	0	0	0	2	1	1	0	0	1	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	2	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	3	1	0	0	0	0	0	1	3	0	0	0	0	1	0	0	6	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0
Autoblog	0	1	0	9	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	4	1	1	0	0	2	0	0	0	0	8	5	0	4	0	0	0	0	1	3	0	0	1	0	0	0	4	1	0	0	0	1	0	0	0	0	0	0	1	4	0	0	0	8	1	0	5	3	0	3	0	0	3	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	46	0	0	0	1	0	0	0	0	0	4	0	0	0	0	3	1	3	2	1	0	0	0	4	0	0	0	0	0	0	0	4	39	3	0	1	0	3	0	3	3	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	4	0	0	1	11	0	0	0	0	9	0	1	1	0	0	0	2	0	0	1	0	3	0	0	0	1	0	0	0	0	0	15	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	0	3	0	0	0	0	1	0	0	0	0	0	0	1	2	0	1	0	1	0	3	0	1	0	0	0	0	2	0	0	0	0	0	0	1	3	0	0	0	0	0	39	0	0	0	0	1	0	0	0	12	2	1	3	0	1	0	0	1	0	45	0	1	0	156	0	0	3	0	3	0	0	0	0	0	0	0	39	1	3	0	0	0	3	0	0	0	18	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	3	4	0	39	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	4	1	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	10	3	0	0	0	1	0	1	0	0	1	1	0	19	0	0	3	0	0	3	0	0	1	0	4	0	0	2	0	1	0	0	0	0	3	1	0	0	0	3	0	0	0	5	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	3	0	0	0	1	0	0	0	39	0	0	0	1	42	0	1	7	0	0	0	0	0	0	6	0	1	0	0	0	3	1	1	0	0	0
Gawker	1	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	2	1	1	4	0	1	1	2	3	0	3	0	0	2	1	0	0	0	2	0	0	2	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	1	0	1	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	4	0	1	2	0	0	2	0	0	0	0	2	0	1	0	0	1	0	0	0	1	0	2	1	0	1	0	6	0	2	3	0	0	0	0	2	0	0	1	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	26	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	4	1	0	0	0	0	0	0	2	1	0	0	0	2	1	0	0	0	0	4	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	3	0	0	1	0	1	2	0	1	0	0	2	0	0	0	0	0	2	2	2	0	0	0	2	0	1	1	2	0	0	0	0	1	0	3	0	0	3	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	2	0	3	0	1	1	0	3	0	0	0	4	1	0	2	0	0	0	2	0	1	10	0	0	0	1	0	0	1	1	0	0	3	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	2	0	2	0	2	0	2	0	0	0	0	5	3	2	0	0	1	0	0	0	0	0	0	0	3	1	1	1	1	1	0	0	0
Google Blogoscoped	0	1	0	2	2	0	0	6	1	0	0	1	0	4	1	1	4	0	0	0	1	3	1	1	0	1	0	0	2	4	0	0	0	2	2	0	0	7	1	0	0	0	0	2	0	1	0	1	0	1	1	0	0	0	2	1	1	0	0	0	0	1	0	0	2	1	0	0	1	1	0	0	1	2	2	0	0	0	2	0	2	0	0	5	2	0	0	1	1	0	4	0	0	0	0	0	0	2	0	1	0	1	0	1	0	0	0	2	0	1	1	2	0	0	2	0	0	0	0	0	1	0	0	1	0	4	4	0	4	0	3	0	0	0	0	0	0	0	1	1	0	0	3	4	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	2	0	0	1	1	0	0	2	0	4	0	1	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	2	2	1	2	2	0	0	0	1	0	2	0	0	0	0	2	0	0	0	1	2	0	1	0	7	0	2	0	0	1	0	0	0	1	2	4	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	1	0	4	2	5	0	0	2	0	0	0	1	1	0	0	1	1	1	0	0	0	0	4	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	1	0	1	1	0	0	1	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	2	0	0	3	1	0	0	0	0	3	0	0	1	0	1	0	4	0	0	28	1	0	0	1	6	0	0	0	0	0	0	2	0	0	0	1	0	2	1	11	4	7	0	0	0	1	0	3	0	2	0	1	1	2	1	3	0	1	1	1	1	0	0	5	3	0	0	0	1	0	1	0	0	0	2	0	0	0	0	3	0	0	0	1	3	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	1	2	4	1	1	1	0	1	0	0	4	3	1	2	0	0	3	0	5	0	0	0	2	0	0	0	0	4	2	5	0	0	0	2	1	1	0	0
Deadspin	0	0	0	0	0	0	0	0	1	0	0	0	2	4	2	0	2	0	0	2	0	2	0	0	0	1	1	0	1	3	3	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	1	0	2	1	1	0	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	1	0	1	0	2	1	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	2	1	4	4	1	0	2	0	1	1	0	5	0	0	0	0	0	1	0	0	0	0	1	1	1	3	0	3	1	2	1	0	7	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	1	1	0	0	1	0	0	25	3	0	0	1	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	1	2	0	4	0	0	0	0	2	1	0	1	0	1	0	0	0	1	1	0	2	0	1	1	0	2	0	2	2	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	2	0	0	1	0	0	1	2	3	0	3	0	0	1	1	0	0	2	0	1	0	1	2	0	0	1	1	0	0	0	0	0	1	4	1	2	0	3	0	0	1	0	1	0	3	1	0	0	0	3	1	0	0	1	1	0	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0	1	1	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	2	1	0	0	0	1	0	2	0	1	2	3	0	1	1	2	1	0	2	0	2	1	0	2	0	0	1	0	0	2	2	0	0	0	0	2	2	0	1	0	0	0	0	1	3	1	0	0	2	1	1	0	2	2	1	0	0	0	3	2	0	0	0	0	3	0	0	0	0	0	0	0	8	1	0	0	0	0	0	1	1	0	0	0	0	0	2	0	3	2	3	2	0	8	0	1	1	0	0	0	0	0	6	0	2	4	2	1	1	0	1	0	0	0	0
TMZ.com	0	0	2	0	0	0	1	0	0	0	0	0	2	1	0	1	0	0	0	2	1	3	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	4	0	2	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	2	0	0	0	2	0	0	1	1	0	0	2	7	0	0	0	1	0	1	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	7	0	1	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	1	0	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	1	0	4	1	0	0	0	0	1	3	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	3	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	1	7	0	0	0	0	0	1	0	1	2	1	1	3	0	0	0	1	0	0	0	0	0	0	1	0	2	0	1	0	0	1	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	2	1	0	0	0	1	0	1	3	0	0	0	4
kottke.org	5	1	7	3	3	0	3	6	0	1	4	1	3	7	1	0	11	5	2	0	4	5	1	5	2	1	1	1	1	13	2	6	3	5	1	5	1	14	11	1	2	1	2	1	3	1	2	1	1	1	3	0	1	2	6	7	1	9	0	5	0	2	6	8	4	12	0	5	1	0	0	0	0	0	3	3	2	0	14	2	0	3	5	8	18	7	1	2	2	0	12	0	2	4	0	2	2	8	1	1	0	5	1	1	1	1	34	1	1	1	3	2	4	3	4	4	4	1	3	0	2	1	0	1	0	1	1	5	0	3	5	1	2	1	1	3	1	1	5	2	5	1	8	14	2	3	0	2	4	0	2	7	3	1	2	2	4	1	6	0	1	0	4	3	6	8	12	1	4	11	2	2	8	2	2	0	1	2	0	0	0	3	1	2	3	3	2	2	3	0	0	13	0	3	5	10	9	1	1	0	1	0	6	3	0	3	2	1	5	2	1	0	0	1	0	1	0	1	1	3	4	1	1	3	4	0	10	0	9	2	0	4	0	2	2	5	1	1	2	2	0	0	4	0	4	2	0	1	0	1	1	0	0	5	4	4	0	1	2	0	0	2	0	1	4	2	3	5	2	4	2	0	2	5	5	1	0	2	4	2	5	1	1	228	4	2	7	2	2	4	8	0	1	2	0	2	5	3	3	2	0	1	0	0	0	3	2	3	0	0	0	4	1	3	1	1	5	0	2	2	1	2	0	2	1	2	6	1	3	0	1	1	0	0	0	0	2	4	1	2	2	0	2	7	1	0	3	0	3	2	2	0	0	6	3	1	2	1	4	1	11	3	3	0	2	1	7	2	0	5	1	1	5	8	4	0	0	4	2	0	1	3	10	6	3	2	1	2	0	2	2	3	0	1	1	1	3	4	7	0	2	0	1	2	0	2	3	2	0	0	1	1	0	4	7	0	1	3	1	2	0	0	0	1	2	16	1	3	1	3	1	1	1	2	5	5	1	0	1	0	5	6	3	5	3	2	1	1	16	2	2	5	0	3	0	6	3	7	4	4	0	2	3	11	1	0	4	0
O'Reilly Radar	10	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	7	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0
Lifehack	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	5	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	2	0	2	5	0	3	0	0	1	3	0	0	0	0	0	6	2	0	0	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	14	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	24	1	0	0	0	0	1	0	16	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	20	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	2	2	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	1	3	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	3	0	1	0	0	2	0	1	2	0	0	0	0	0	1	0	2	0	0	0	2	3	1	0	0	0	0
Lifehacker	0	0	0	3	1	0	0	0	0	0	0	2	0	2	2	0	4	0	0	4	0	1	1	3	1	3	0	0	0	4	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	1	1	0	2	0	0	0	0	0	1	1	0	0	2	0	1	1	0	1	0	3	0	0	1	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	4	0	0	1	1	1	0	0	0	0	5	2	0	0	0	0	1	2	0	2	1	0	2	1	3	1	1	0	0	2	4	0	0	1	0	7	0	0	0	0	2	0	0	3	0	0	0	2	0	0	0	0	1	0	0	0	0	2	1	0	0	1	0	1	25	0	0	1	1	2	1	3	0	1	0	0	1	3	1	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0	0	1	1	0	5	0	0	0	0	2	2	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0	0	2	2	0	0	0	0	3	0	1	1	1	0	0	2	1	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	1	1	2	2	0	2	1	0	0	2	1	0	3	0	0	1	1	0	0	2	0	2	0	1	0	0	0	3	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	4	1	0	1	0	0	0	1	0	3	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	3	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	1	0	0	3	2	0	0	0	0	0	0	0	2	2	0	1	0	0	0	2	0	0	0	2	0	0	0	0	1	0	1	0	2	0	0	1	0	3	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	3	0	5	2	0	0	0	1	0	1	1	0	0	0	0	1	2	0	1	2	0	1	0	0	4	2	0	0	0
Valleywag	0	0	2	1	2	0	0	2	0	0	0	3	0	0	0	1	3	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	2	0	0	6	1	1	0	0	1	0	2	1	3	2	0	0	1	0	0	0	2	0	1	0	1	0	2	0	0	1	2	1	3	7	0	0	0	0	0	2	1	1	0	0	0	8	0	0	1	0	3	0	0	1	2	2	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	2	5	3	0	0	0	0	1	0	0	1	0	0	4	2	2	0	1	4	0	7	0	1	0	0	1	2	0	1	0	0	0	0	0	0	3	0	0	0	1	3	0	0	0	0	1	2	25	0	0	2	0	0	1	0	0	2	2	0	0	1	0	0	2	0	0	2	0	1	0	0	0	0	2	1	0	3	0	0	0	1	0	0	1	4	0	0	2	1	1	0	1	0	0	1	0	0	0	0	0	2	1	1	7	2	0	0	0	0	0	1	0	1	0	0	0	0	2	0	2	0	0	1	1	2	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	2	0	0	1	0	2	0	4	1	0	1	0	5	4	0	0	0	0	2	0	2	0	0	3	0	0	2	2	0	0	2	1	0	1	2	0	5	0	2	0	1	0	0	0	2	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	3	0	1	0	3	1	0	1	0	1	9	0	1	2	0	0	2	3	0	0	0	0	5	0	0	1	0	1	4	0	0	1	0	1	0	2	0	0	0	0	1	0	7	0	0	0	1	0	0	0	1	0	1	1	0	1	0	2	0	0	0	0	0	1	0	0	0	1	0	2	0	3	0	3	0	0	0	0	1	0	0	2	0	1	0	0	2	1	2	2	0	2	1	0	3	1	1	0	0	1	1	4	0	0	0	1	0	1	0	1	0	0	2	0
